Id|Name|Description|Price|PriceCurrency|SupplyAbility|MinimumOrder
9c8f0f5b-1d72-49d3-8b85-3a2d5edbff25|Samsung Odyssey Neo G8 (LS32BG850NUX)|The Samsung Odyssey Neo G8 is a high-performance gaming monitor featuring a 32-inch 4K curved display with a 240Hz refresh rate and Quantum Matrix Technology for stunning visuals and smooth gameplay.|999.99|USD|2500|10
c0fa9606-bbb5-44ef-8b9a-4388ad4bbf7d|Apple MacBook Pro 16-inch (2023)|The Apple MacBook Pro 16-inch (2023) comes with a powerful M1 Max chip, stunning Liquid Retina XDR display, and up to 64GB of RAM, perfect for creative professionals and heavy workloads.|2499.99|USD|1500|5
d1379ac9-8728-4623-b80c-c39e4931d8e9|Sony WH-1000XM5|Sony WH-1000XM5 headphones provide industry-leading noise cancellation, superior sound quality, and 30 hours of battery life for uninterrupted music and calls.|349.99|USD|4000|1
be51b3b9-4a93-4f87-8b18-f89c4935e251|Microsoft Surface Laptop 4|The Microsoft Surface Laptop 4 features a sleek design, Intel Core i7 processor, high-resolution PixelSense touchscreen, and long-lasting battery life.|1599.99|USD|3000|3
c508b4d9-3496-4017-a786-395bc55959cc|Bose QuietComfort 45|Bose QuietComfort 45 headphones are known for their exceptional noise cancellation and premium sound, offering up to 24 hours of wireless use.|329.99|USD|3500|2
97a4b1fc-4ec6-47f2-bebd-cb5192ae5b9e|Nikon Z9 Mirrorless Camera|Nikon Z9 Mirrorless Camera offers the ultimate in professional photography with a 45.7MP full-frame sensor, 8K video, and unmatched autofocus capabilities.|5499.99|USD|500|1
7b2186ff-c015-4d98-9a0a-1ad8e45a351d|Canon EOS R5|Canon EOS R5 is a mirrorless camera designed for professionals, featuring a 45MP sensor, 8K video recording, and exceptional autofocus for sharp images.|3899.99|USD|300|2
f014a2b3-99d5-4ad1-9e98-d90c674b7ed9|LG OLED55CXPUA Alexa Built-In CX 55 4K Smart OLED TV|LG OLED55CXPUA is a 55-inch 4K OLED Smart TV with self-lighting pixels, perfect blacks, and rich colors for an immersive viewing experience.|1799.99|USD|1000|3
21d90f1c-3cd2-4c7f-bd12-71a6d0b464a2|GoPro HERO10 Black|GoPro HERO10 Black is a rugged action camera with HyperSmooth 4.0 stabilization, 5.3K video recording, and enhanced low-light performance.|399.99|USD|8000|1
fd872e5b-3462-49c6-86a3-b79d9a1cfb9f|Razer Blade 15 Advanced|The Razer Blade 15 Advanced is a high-performance gaming laptop with a 15.6-inch 4K OLED display, Intel Core i7 processor, and NVIDIA GeForce RTX 3080.|2299.99|USD|1500|2
d69e4651-1d3f-47ae-8c82-2f1cba96d195|Razer DeathAdder V2|The Razer DeathAdder V2 is a wired gaming mouse that offers a high-precision optical sensor, ergonomic design, and Razer Speedflex cable for minimal drag.|69.99|USD|4000|5
3be1d053-1f39-4508-b274-8ec56a7b3d67|Samsung Galaxy Tab S8+|The Samsung Galaxy Tab S8+ is a high-performance Android tablet with a large 12.4-inch AMOLED display, Qualcomm Snapdragon 8 Gen 1 chip, and long battery life.|899.99|USD|3000|3
b4cf6d55-e722-44cc-9c97-11e1b313f437|Lenovo ThinkPad X1 Carbon Gen 9|The Lenovo ThinkPad X1 Carbon Gen 9 is a lightweight business laptop with an Intel Core i7 processor, 14-inch 4K display, and up to 32GB of RAM for productivity on the go.|1899.99|USD|1500|2
d5f5bc38-e8da-4f00-9eb5-b51a7b663890|Microsoft Xbox Series S|The Xbox Series S is an affordable next-gen gaming console offering fast load times, high-performance graphics, and access to the Xbox Game Pass library.|299.99|USD|4000|5
6c81b1ed-c3d8-4195-963f-c23e87689c60|Apple iPad Pro 12.9-inch (2022)|The iPad Pro 12.9-inch (2022) features Apple's M1 chip, a stunning Liquid Retina XDR display, and excellent camera performance for content creators and professionals.|1099.99|USD|1000|2
78a0b0d3-4450-4d9e-9877-c0f41648d396|Harman Kardon Onyx Studio 6|The Harman Kardon Onyx Studio 6 is a premium portable Bluetooth speaker with a sleek design, superior sound quality, and waterproof features.|349.99|USD|2000|3
b3d5fe96-b568-4b30-a698-dcf4d42b1e3d|GoPro HERO9 Black|GoPro HERO9 Black is an action camera designed for extreme sports, featuring 5K video recording, HyperSmooth 3.0 stabilization, and a 20MP photo capability.|449.99|USD|5000|4
f3d6b2e7-462f-437d-b2fc-dffba375e6cc|Sony 75-Inch X90J 4K LED TV|The Sony 75-Inch X90J offers stunning 4K visuals, enhanced by Sony's XR Cognitive Processor and Dolby Vision, making it perfect for home entertainment.|1599.99|USD|800|3
c676f8fe-9e84-44a2-a501-618f10f1ed04|Microsoft Surface Pro 8|The Surface Pro 8 combines the power of a laptop with the portability of a tablet, featuring a high-resolution screen and up to Intel Core i7 processor.|1199.99|USD|2500|2
7ac23de0-1c9a-4743-915e-40fd72b8f057|Apple AirPods (3rd Generation)|The AirPods (3rd Generation) feature adaptive EQ, spatial audio, and a comfortable design for an immersive listening experience.|179.99|USD|6000|3
321f13a7-6f56-4a68-8d06-d06ed6a27a0a|Oculus Quest 2 128GB|Oculus Quest 2 is a standalone VR headset that provides an immersive experience with a large selection of games and applications.|299.99|USD|5000|2
ab68a388-95fc-4189-a0ba-13c18fd5e8e0|JBL Charge 5 Bluetooth Speaker|The JBL Charge 5 offers loud, clear sound with deep bass, a built-in power bank, and waterproof design, making it the perfect portable speaker for outdoor use.|179.99|USD|6000|3
d76bc0b2-8b91-4727-8c39-1c1351b9aef6|Samsung 980 PRO 1TB NVMe M.2 SSD|The Samsung 980 PRO offers lightning-fast read and write speeds, ideal for high-performance gaming and content creation on compatible devices.|149.99|USD|3500|2
b1d8d9f3-5055-43f0-a5da-4eeffbaf5e34|Seagate 2TB Portable External Hard Drive|The Seagate 2TB Portable External Hard Drive provides ample storage space for your files with USB 3.0 connectivity, compact design, and fast data transfer rates.|69.99|USD|5000|5
1b8ed9d6-f2a7-430f-a42d-c9f2cde5f8ad|Kingston HyperX Alloy FPS Pro|The Kingston HyperX Alloy FPS Pro is a tenkeyless mechanical gaming keyboard with a durable design and dynamic RGB lighting for FPS gamers.|99.99|USD|3500|2
9b18a1be-1451-453f-9e42-c881e38018a4|Alienware Aurora R12 Gaming Desktop|The Alienware Aurora R12 is a powerful gaming desktop featuring Intel Core i9 processor, NVIDIA GeForce RTX 3080, and customizable RGB lighting for the ultimate gaming experience.|2499.99|USD|800|3
3870131b-3b04-42a6-b419-b709a5f4c3fa|Corsair K95 RGB Platinum XT|The Corsair K95 RGB Platinum XT is a high-end mechanical gaming keyboard with Cherry MX switches, programmable macro keys, and dynamic RGB lighting.|199.99|USD|2000|3
9b6601f7-5b4a-4fef-9a27-2cc980ae3178|Apple MacBook Air (M2, 2022)|The MacBook Air (M2, 2022) is a thin and lightweight laptop with Apple's new M2 chip, up to 18 hours of battery life, and a 13.6-inch Retina display.|1199.99|USD|2500|2
dd1f5c5d-8dbe-4b30-b59a-9d66c351ed3f|Asus TUF Gaming F17|The Asus TUF Gaming F17 is a durable and high-performance gaming laptop featuring Intel Core i7, NVIDIA GeForce GTX 1660 Ti, and a large 17.3-inch display.|1199.99|USD|1500|4
3c5ef2d5-b967-48ad-9c52-2b49e36a5306|Sony A7 IV Mirrorless Camera|The Sony A7 IV is a mirrorless camera designed for professionals, featuring a 33MP full-frame sensor, 4K video recording, and fast autofocus for sharp, detailed images.|2499.99|USD|600|3
9da3be23-f015-4bbf-9c9b-f23c27d3cb9e|Samsung Galaxy Watch 5 Pro|The Samsung Galaxy Watch 5 Pro offers advanced health monitoring features, including body composition measurement, ECG, and sleep tracking for a comprehensive fitness experience.|449.99|USD|4000|2
572fc0fe-2294-48b0-903b-4d50ac758b9c|BenQ Zowie XL2546K 24.5-inch Gaming Monitor|The BenQ Zowie XL2546K is a 24.5-inch esports gaming monitor offering a 240Hz refresh rate and DyAc+ technology for ultra-smooth gameplay and low input lag.|449.99|USD|3000|3
84a7c4eb-5912-4906-97ab-03592fffc038|Samsung 970 EVO Plus 500GB SSD|The Samsung 970 EVO Plus provides lightning-fast read and write speeds with its PCIe Gen 3.0 interface, making it ideal for high-performance gaming and content creation.|89.99|USD|5000|5
9f81b689-79cf-4c52-91cf-fbb712e6a799|Logitech G Pro X Superlight Wireless Mouse|The Logitech G Pro X Superlight is an ultra-lightweight wireless gaming mouse designed for precision, speed, and comfort, featuring HERO sensor and low latency.|149.99|USD|4500|2
5fa319fc-5d44-453f-a679-7f3d2e1adf7a|Huawei P40 Pro|The Huawei P40 Pro offers cutting-edge camera capabilities, featuring a 50MP Ultra Vision Leica camera, 5G support, and a sleek design.|999.99|USD|3000|3
c3a7b8c5-bd89-4027-b723-5576c4b4f1b3|Sony PlayStation 5 Digital Edition|The Sony PlayStation 5 Digital Edition offers next-gen gaming performance with an ultra-fast SSD, stunning visuals, and a wide variety of exclusive games.|499.99|USD|6000|2
89d562be-f7c1-49f5-bb72-e550a2b6b529|Alienware 34 Curved Gaming Monitor|The Alienware 34 Curved Gaming Monitor provides immersive 1440p resolution with a 120Hz refresh rate and NVIDIA G-SYNC technology for ultra-smooth gaming experiences.|1299.99|USD|2000|3
a376d225-74f9-47d7-b99f-c6f688aefbb4|Apple AirPods Pro 2|The Apple AirPods Pro 2 offers excellent sound quality, active noise cancellation, and enhanced comfort for a premium listening experience.|249.99|USD|7000|2
8a435bbb-1295-4dfb-bc3d-b7b92b8f4d58|Samsung Galaxy S22 Ultra|The Samsung Galaxy S22 Ultra features a 108MP camera, 5G support, and a large AMOLED display, offering top-tier performance for mobile photography and gaming.|1199.99|USD|3500|3
7424f681-46b9-4157-a993-36e2ffba4562|Microsoft Surface Studio 2|The Microsoft Surface Studio 2 is a powerful all-in-one desktop with a stunning 28-inch touchscreen display, ideal for creative professionals and designers.|3999.99|USD|800|3
b994f393-8987-46a5-8107-3f1d8329a12e|Bose SoundLink Revolve+ Bluetooth Speaker|The Bose SoundLink Revolve+ delivers deep, immersive sound with 360-degree coverage, a rugged design, and up to 16 hours of battery life for outdoor use.|329.99|USD|5000|2
83f7ed8f-2b62-4bba-b0a3-69f98457642d|Nintendo Switch OLED Model|The Nintendo Switch OLED Model offers a vivid 7-inch OLED display and enhanced audio for portable gaming, perfect for solo or multiplayer experiences.|349.99|USD|6000|3
e04f9bfc-4416-4850-92a4-742458cc4b9e|Sony A7R IV|The Sony A7R IV is a professional mirrorless camera that boasts a 61MP full-frame sensor, fast autofocus, and 4K video recording for high-quality photography and videography.|3299.99|USD|1500|2
0e8a44b0-b4d5-40ea-bbf7-e338c83b9b19|Samsung 43-inch TU8000 4K UHD Smart TV|The Samsung 43-inch TU8000 offers stunning 4K visuals with HDR, smart TV capabilities, and a slim design for an enhanced home entertainment experience.|399.99|USD|4500|3
1f69450a-5d3d-4e2d-a0ac-38e3c4bff215|Apple Watch Ultra|The Apple Watch Ultra is designed for extreme environments, offering advanced health monitoring features, rugged durability, and a large, easy-to-read display.|799.99|USD|3000|2
5a8d1e9f-b539-4b16-81bb-b89d29bdb2f2|Google Pixel 6 Pro|The Google Pixel 6 Pro features Google's custom Tensor chip, a 50MP primary camera, and an OLED display for stunning visuals and excellent performance.|899.99|USD|2500|2
6e876572-5fa4-4e97-9447-33c4c8a02a49|Lenovo Legion 5 Pro|The Lenovo Legion 5 Pro is a gaming laptop that offers a 165Hz 16-inch QHD display, AMD Ryzen 7 processor, and NVIDIA GeForce RTX 3070 for an exceptional gaming experience.|1799.99|USD|1200|2
743a4d29-7aef-4a58-9b10-1bcd7e2cc80b|LG 27GN950-B UltraGear 4K Gaming Monitor|The LG 27GN950-B is a 27-inch 4K gaming monitor with a 144Hz refresh rate, NVIDIA G-SYNC compatibility, and vibrant colors for a competitive gaming edge.|749.99|USD|2500|3
1de14513-4869-41d7-85cd-bb0e2b8754a3|Samsung Galaxy Z Fold 4|The Samsung Galaxy Z Fold 4 is a foldable smartphone that offers a large 7.6-inch AMOLED display, top-tier performance, and a unique multitasking experience.|1799.99|USD|2000|3
dd71a7e8-6c07-44de-933f-849e263f2900|Microsoft Xbox Series X|The Xbox Series X is a powerful next-gen gaming console with 4K UHD resolution, fast loading speeds, and a wide range of exclusive titles for gamers.|499.99|USD|6000|4
c810df6d-68f9-4a1e-b405-6d6f1e98f9e7|Corsair Vengeance LPX 16GB DDR4 RAM|The Corsair Vengeance LPX 16GB DDR4 RAM offers high-speed performance and low latency, ideal for gaming or demanding applications on desktops and laptops.|79.99|USD|3500|5
5c383218-9630-47e4-9ed2-8c1a3281c086|HP Spectre x360 14|The HP Spectre x360 14 is a premium convertible laptop with an Intel Core i7 processor, OLED display, and up to 16GB of RAM, perfect for both work and play.|1599.99|USD|1200|2
f17a1d2b-b076-4e77-9e92-02d5d357f009|JBL Pulse 4 Bluetooth Speaker|The JBL Pulse 4 delivers immersive 360-degree sound and a dynamic light show, perfect for any party or outdoor gathering.|249.99|USD|2500|3
70b13a72-4410-417a-9904-d0bcbf53ea6f|Sony 65-Inch Bravia XR A80J OLED TV|The Sony 65-Inch Bravia XR A80J offers stunning OLED 4K visuals, Dolby Vision, and XR Cognitive Processor for a cinematic viewing experience at home.|2499.99|USD|1000|3
af2096e0-2173-4201-b19d-7d85963b23a3|Corsair RM850x 850W PSU|The Corsair RM850x 850W PSU is a fully modular power supply with quiet operation, 80+ Gold certification, and reliable power delivery for high-performance systems.|129.99|USD|2000|5
42ff39a3-d462-4f09-87a0-dfe6538dca3d|Le Creuset Signature Enameled Cast Iron Dutch Oven|The Le Creuset Signature Enameled Cast Iron Dutch Oven provides even heat distribution and long-lasting durability, perfect for slow-cooking, roasting, and baking.|349.99|USD|1500|1
b99b9354-313f-4a19-9b71-e5431150d033|Dyson V11 Torque Drive Cordless Vacuum|The Dyson V11 Torque Drive Cordless Vacuum provides powerful suction, intelligent cleaning modes, and a long-lasting battery, ideal for homes and pet owners.|699.99|USD|2500|2
3c8c960b-c40a-4517-bd62-df34d2e72a5d|KitchenAid Artisan Stand Mixer|The KitchenAid Artisan Stand Mixer offers exceptional mixing performance with a variety of attachments, ideal for home bakers and cooking enthusiasts.|379.99|USD|5000|1
19b8d4de-4f6e-496d-b8a9-28eeed5a6e96|The North Face ThermoBall Eco Jacket|The North Face ThermoBall Eco Jacket provides warmth and comfort with lightweight insulation, perfect for outdoor activities in colder weather.|199.99|USD|3000|2
ed4fa8be-49a3-44b6-9f33-e1de2a995b0a|Bose 700 Noise Cancelling Headphones|Bose 700 Noise Cancelling Headphones provide exceptional sound quality, advanced noise cancellation, and a comfortable fit for long listening sessions.|379.99|USD|4500|1
0fbb9aaf-35f3-4c02-92da-ea7f4fc7e63e|Smeg Retro Style 4-Slice Toaster|The Smeg Retro Style 4-Slice Toaster combines classic design with modern functionality, featuring adjustable browning control and a crumb tray for easy cleanup.|159.99|USD|3200|2
7639d35d-3a76-49d4-9172-1d0f6631f6e3|Cuisinart DCC-3200 14-Cup Coffee Maker|The Cuisinart DCC-3200 14-Cup Coffee Maker offers programmable settings, Brew Strength Control, and self-cleaning for a convenient and flavorful coffee experience.|99.99|USD|4000|3
d1f63d5b-e80e-4be5-839e-6f5b10c1e5f0|Martha Stewart 7-Piece Cookware Set|The Martha Stewart 7-Piece Cookware Set provides non-stick, easy-to-clean cookware perfect for everyday cooking and entertaining.|129.99|USD|3500|2
bc1a7e72-15eb-4f61-83e9-e75cb54a29bc|Instant Pot Duo 7-in-1 Electric Pressure Cooker|The Instant Pot Duo is a versatile electric pressure cooker that can function as a pressure cooker, slow cooker, rice cooker, yogurt maker, and more.|89.99|USD|5000|1
736d2a0d-59f3-47ca-bf25-7319e2b9432a|Miele Complete C3 Cat & Dog Canister Vacuum|The Miele Complete C3 is a powerful canister vacuum designed for pet owners, offering superior suction and a HEPA filter to capture allergens and pet hair.|799.99|USD|1200|2
54479a70-9265-4edb-9877-03c299e10c58|Patagonia Nano Puff Jacket|The Patagonia Nano Puff Jacket is a lightweight, insulated jacket designed for outdoor adventures, offering warmth and comfort in cold weather.|249.99|USD|4500|2
abfa215b-d99f-41f5-a842-8ad9ab7172c1|Eureka 71B Upright Vacuum Cleaner|The Eureka 71B Upright Vacuum Cleaner features powerful suction and an easy-to-use design, perfect for deep cleaning carpets and hard floors.|79.99|USD|3000|1
574309c5-173d-47fa-b86a-ea4ac6e55077|T3 Lucea ID Digital Styling Iron|The T3 Lucea ID Digital Styling Iron features adjustable heat settings and a personalized touch, offering smooth, frizz-free hair for all hair types.|159.99|USD|2000|2
e60a621d-4ae9-4b4e-a7c1-5741d46988bc|Oxo Good Grips Salad Spinner|The Oxo Good Grips Salad Spinner makes washing and drying salad greens quick and easy, featuring a non-slip base and a soft, one-handed pump.|29.99|USD|5000|5
9a03a7b3-bdc7-4642-bc65-f62153f5fa58|Leatherman Wave Plus Multi-Tool|The Leatherman Wave Plus is a versatile multi-tool featuring 18 tools in one, perfect for DIY enthusiasts, outdoor adventurers, and professionals.|99.99|USD|6000|2
fba0f34b-e6c5-4c56-a7b5-f911c0307310|Fitbit Charge 5 Fitness and Health Tracker|The Fitbit Charge 5 tracks your fitness and health, offering built-in GPS, heart-rate monitoring, and a vibrant AMOLED display for an active lifestyle.|179.99|USD|2500|2
c95ed3f3-2f5b-4b4b-90f4-b315cc118c6d|Fossil Gen 5 Smartwatch|The Fossil Gen 5 Smartwatch combines classic style with modern tech, featuring heart-rate tracking, GPS, and customizable watch faces for a personalized experience.|295.99|USD|4500|3
d58d7a88-2d2d-4b82-9e6f-b0be98faaf0a|Vitamix 5200 Blender|The Vitamix 5200 Blender is a professional-grade blender that delivers smooth, consistent results with its powerful motor and variable speed control.|449.99|USD|2000|3
c33ec29e-2ecf-4904-9c92-f498ff083694|Yeti Rambler 30oz Tumbler|The Yeti Rambler 30oz Tumbler keeps your beverages cold or hot for hours, offering durable construction and a no-sweat design for on-the-go convenience.|34.99|USD|7000|2
3a73929f-e96a-45fa-a79e-877ec0d9d78d|Bose Home Speaker 500|The Bose Home Speaker 500 delivers powerful stereo sound with Alexa voice control, perfect for listening to music, podcasts, and more in any room of the house.|399.99|USD|3000|2
5c8e9ff0-d859-42cf-8c24-50f6726eb7be|Thermador Professional 36-inch Gas Range|The Thermador Professional 36-inch Gas Range features high-performance cooking with six burners, a griddle, and an oven, perfect for serious home chefs.|6999.99|USD|800|1
2ac9e98e-c9a1-44f4-bf9d-df123b578f56|Breville Barista Pro Espresso Machine|The Breville Barista Pro allows you to make professional-quality espresso drinks with an integrated grinder and steam wand for perfect coffee every time.|799.99|USD|1200|2
6cfb2b9c-dc7b-4c87-8d45-f7a1899b3c92|Nespresso VertuoPlus Coffee and Espresso Maker|The Nespresso VertuoPlus offers a wide variety of coffee and espresso options with convenient pod-based brewing, perfect for busy mornings or relaxing afternoons.|169.99|USD|3500|3
9a0c2a70-256d-4237-9ed8-b5f5370b5f5c|Instant Pot Pro Plus Smart 10-in-1 Pressure Cooker|The Instant Pot Pro Plus Smart 10-in-1 Pressure Cooker is a versatile kitchen appliance that combines pressure cooking, slow cooking, and more for fast, easy meal prep.|149.99|USD|5000|2
f906d586-0b3d-490d-bdf7-689975b27822|Yeti Hopper M30 Portable Cooler|The Yeti Hopper M30 Portable Cooler is a rugged, leakproof cooler that can keep your drinks and food cold for up to three days, perfect for camping or outdoor adventures.|299.99|USD|2000|3
835948c3-4b73-433d-99c2-28e6cb9870e1|Therm-a-Rest NeoAir XTherm Sleeping Pad|The Therm-a-Rest NeoAir XTherm Sleeping Pad offers comfort and warmth for outdoor enthusiasts, featuring lightweight construction and excellent insulation for cold-weather camping.|229.99|USD|1200|2
b459d928-d8b2-40b4-9e45-87b1d10c0638|Roku Ultra 2020 Streaming Device|The Roku Ultra 2020 Streaming Device provides 4K and HDR streaming, with a voice remote and a private listening mode for a personalized home entertainment experience.|99.99|USD|3000|1
762f7fa9-1997-402b-83c4-3a6ac198a173|Acer Predator Helios 300 Gaming Laptop|The Acer Predator Helios 300 is a powerful gaming laptop equipped with an Intel i7 processor, NVIDIA GeForce RTX 3060, and a 15.6-inch 144Hz display.|1399.99|USD|1500|2
f31e4389-e8d4-4874-85c9-6741b8c0632c|Vizio 55-Inch 4K Smart TV|The Vizio 55-Inch 4K Smart TV delivers stunning visuals with Ultra HD resolution and supports streaming services like Netflix, Hulu, and Disney+ for endless entertainment.|399.99|USD|3500|1
f05cf6f2-9065-4232-8287-d6c79c04edb0|SodaStream Fizzi Sparkling Water Maker|The SodaStream Fizzi Sparkling Water Maker lets you create your own sparkling water at home, with a sleek design and easy-to-use carbonation process.|89.99|USD|4000|2
ec43c849-41f2-46b0-b5a0-d79c6f6986c2|Casper Original Foam Mattress|The Casper Original Foam Mattress offers premium comfort and support with a layer of memory foam and a breathable cover, ideal for a restful night’s sleep.|599.99|USD|2000|3
218b8474-9893-4c58-b618-424d7f7b3e8a|Furbo Dog Camera|The Furbo Dog Camera lets you monitor and interact with your dog remotely, offering a 1080p camera and treat dispenser for your pet’s well-being.|249.99|USD|3000|1
5d1c9a5b-7476-4649-bf7c-319e080907b8|Canon PIXMA TR4520 Wireless Printer|The Canon PIXMA TR4520 Wireless Printer is an all-in-one inkjet printer, ideal for home and office use, offering wireless connectivity and easy setup.|69.99|USD|5000|2
4a2c6f37-bb9d-40a2-80e7-4780f9a39bbd|Razer Huntsman Mini 60% Gaming Keyboard|The Razer Huntsman Mini 60% Gaming Keyboard features Razer Optical switches for fast, responsive typing and a compact design for portability.|109.99|USD|1500|1
c7a6894e-ea0d-46c8-b421-21879c024db4|Sony PlayStation 5 Console|The Sony PlayStation 5 Console offers ultra-fast load times, stunning visuals with ray tracing, and immersive gameplay for a next-gen gaming experience.|499.99|USD|2000|1
30f4231d-9609-44a0-b7d2-28e3fa17e5b6|Samsung Galaxy S21 Ultra 5G|The Samsung Galaxy S21 Ultra 5G features a large AMOLED display, quad rear cameras, and 5G connectivity, offering a premium smartphone experience.|1199.99|USD|2500|1
c5246c0e-66ba-4534-b597-05ae6fe0620e|Nike Air Zoom Pegasus 38 Running Shoes|The Nike Air Zoom Pegasus 38 Running Shoes offer responsive cushioning, breathable upper, and durable design, making them ideal for running and training.|119.99|USD|3500|2
82627412-c0e7-4c42-b5b1-4651167c466f|Microsoft Xbox Series X|The Microsoft Xbox Series X offers powerful gaming performance with 4K resolution, lightning-fast load times, and a wide range of exclusive games.|499.99|USD|1800|1
e1d68411-c5d6-4b66-97a0-d37e3ccf21d4|GoPro HERO9 Black|The GoPro HERO9 Black offers 5K video recording, HyperSmooth stabilization, and a front-facing display, making it perfect for vlogs and action shots.|399.99|USD|3000|2
2bc02e52-f437-487b-947b-3a535dbd5675|Panasonic Lumix GH5 Mirrorless Camera|The Panasonic Lumix GH5 is a versatile mirrorless camera designed for video creators, offering 4K video recording, a 20.3MP sensor, and in-body stabilization.|1499.99|USD|800|2
f9569b23-0b07-485b-9333-f1c9a65e9ab1|Fujifilm X-T4 Mirrorless Camera|The Fujifilm X-T4 features a 26.1MP sensor, 4K video recording, and excellent color reproduction, making it a great choice for photographers and videographers.|1699.99|USD|1200|1
8d6f2a58-d9e2-45ad-b9b9-fb739e0e38be|JBL Charge 4 Portable Bluetooth Speaker|The JBL Charge 4 Portable Bluetooth Speaker delivers high-quality sound, 20 hours of playtime, and waterproof design for outdoor music enjoyment.|129.99|USD|2500|2
f03b0179-05bb-47c2-b9c1-c3705c6d1ac4|Sony WH-1000XM4 Noise Cancelling Headphones|The Sony WH-1000XM4 offers world-class noise cancellation, superior sound quality, and up to 30 hours of battery life for uninterrupted listening.|349.99|USD|4000|2
1cf1105b-b6c3-4eae-b5f3-15c6944c3b0d|Samsung Galaxy Watch 4 Classic|The Samsung Galaxy Watch 4 Classic features a sleek design, health tracking, and advanced fitness features, offering seamless integration with your Galaxy phone.|249.99|USD|5000|1
1c6d4be1-b022-4416-bff0-b1ea790d2d34|Dell XPS 13 Laptop|The Dell XPS 13 is a high-performance laptop with Intel Core i7, a 13-inch InfinityEdge display, and a sleek, ultra-portable design.|1399.99|USD|2500|2
f762599f-e541-46c7-b088-1bc745c8a7d2|Nvidia GeForce RTX 3080 Graphics Card|The Nvidia GeForce RTX 3080 offers lightning-fast performance and ray tracing for immersive gaming experiences and high-end content creation.|699.99|USD|800|1
